worker_id,assignment_id,current_trial,dateTime,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,5,1511837805983,Response,4,4,approx,1536,0,70,41,29,0,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,6,1511837811941,Response,5,5,approx,1543,0,80,48,32,0,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,7,1511837818670,Response,6,6,approx,1601,0,82,44,38,0,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,8,1511837825939,Response,7,7,approx,1511,0,90,31,59,0,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,9,1511837833104,Response,8,8,approx,1515,0,78,24,54,0,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,10,1511837839980,Response,9,9,approx,1523,0,70,37,33,0,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,11,1511837846120,Response,10,10,approx,1530,0,15,9,6,0,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,12,1511837871858,Response,11,1,count,14320,0,18,18,0,0.1,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,13,1511837883009,Response,12,2,count,8541,0,13,13,0,0.1,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,14,1511837905826,Response,13,3,count,19804,0,24,24,0,0.1,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,15,1511837927173,Response,14,4,count,18966,0,20,20,0,0.1,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,16,1511837934344,Response,15,5,count,4699,0,8,8,0,0.1,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,17,1511837957657,Response,16,1,test,7585,0,11,11,0,0.1,0.1
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,18,1511837980183,Response,17,2,test,15723,0,36,36,0,0.1,0.2
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,19,1511837989444,Response,18,3,test,6124,0,14,14,0,0.1,0.3
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,20,1511838009968,Response,19,4,test,16170,0,36,37,1,0,0.3
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,21,1511838018776,Response,20,5,test,5838,0,13,13,0,0.1,0.4
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,22,1511838032715,Response,21,6,test,9902,0,20,20,0,0.1,0.5
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,23,1511838041418,Response,22,7,test,6184,0,12,12,0,0.1,0.6
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,24,1511838064379,Response,23,8,test,19553,0,42,42,0,0.1,0.7
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,25,1511838070895,Response,24,9,test,4094,0,5,5,0,0.1,0.8
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,26,1511838100333,Response,25,10,test,25761,0,50,50,0,0.1,0.9
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,27,1511838123255,Response,26,11,test,18483,0,50,43,7,0,0.9
